id,order,theme,name_ru,name_uz,name_tj,duration_days_ru,duration_days_uz,duration_days_tj,departure_day_ru,departure_day_uz,departure_day_tj,short_desc_ru,short_desc_uz,short_desc_tj,price_single,price_double,price_triple,price_quad,currency,flight_route,flight_details_ru,flight_details_uz,flight_details_tj,meal_plan_ru,meal_plan_uz,meal_plan_tj,inclusions_ru,inclusions_uz,inclusions_tj,group_size,is_active,is_placeholder
swissotel10,1,t-swiss,Swissotel,Swissotel,Swissotel,10 дней / 9 ночей,10 кун / 9 кеча,10 рӯз / 9 шаб,Четверг,Пайшанба,Панҷшанбе,"5* отель в 5 минутах от Харама, шведский стол","Ҳарамдан 5 дақиқа, 5* меҳмонхона, швед столи","Меҳмонхонаи 5* дар 5 дақиқагӣ аз Ҳарам",2700,1900,1750,1650,USD,Ташкент — Медина / Джидда — Ташкент,"CentrumAir Airbus A330-300. Ташкент 11:00 → Медина 16:20; Джидда 12:20 → Ташкент 20:40. Багаж 30кг + 8кг","CentrumAir Airbus A330-300. Тошкент 11:00 → Мадина 16:20; Жидда 12:20 → Тошкент 20:40. Багаж 30кг + 8кг","CentrumAir Airbus A330-300. Тошканд 11:00 → Мадина 16:20; Ҷидда 12:20 → Тошканд 20:40. Бағоҷ 30кг + 8кг","2 приёма пищи (шведский стол)","2 маҳал швед столи","2 маротиба хӯроки бофеӣ","Перелёт|Трансфер|Виза|Гид|Медстраховка|5л воды Замзам","Парвоз|Трансфер|Виза|Гид|Тиббий суғурта|5л Замзам суви","Парвоз|Интиқол|Виза|Роҳбалад|Суғуртаи тиббӣ|5л оби Замзам",27,TRUE,FALSE
jumeirah10,2,t-blue,Jumeirah,Jumeirah,Jumeirah,10 дней / 9 ночей,10 кун / 9 кеча,10 рӯз / 9 шаб,Четверг,Пайшанба,Панҷшанбе,"Люкс отель Jabal Omar рядом с Харамом","Жабал Омар ҳудудида, Ҳарам яқинида люкс меҳмонхона","Меҳмонхонаи люкс дар Jabal Omar, наздикии Ҳарам",2800,1990,1890,1750,USD,Ташкент — Медина / Джидда — Ташкент,"CentrumAir Airbus A330-300. Ташкент 11:00 → Медина 16:20; Джидда 12:20 → Ташкент 20:40. Багаж 30кг + 8кг","CentrumAir Airbus A330-300. Тошкент 11:00 → Мадина 16:20; Жидда 12:20 → Тошкент 20:40. Багаж 30кг + 8кг","CentrumAir Airbus A330-300. Тошканд 11:00 → Мадина 16:20; Ҷидда 12:20 → Тошканд 20:40. Бағоҷ 30кг + 8кг","2 приёма пищи (шведский стол)","2 маҳал швед столи","2 маротиба хӯроки бофеӣ","Перелёт|Трансфер|Виза|Гид|Медстраховка|5л воды Замзам","Парвоз|Трансфер|Виза|Гид|Тиббий суғурта|5л Замзам суви","Парвоз|Интиқол|Виза|Роҳбалад|Суғуртаи тиббӣ|5л оби Замзам",27,TRUE,FALSE
mtowers10,3,t-tower,Makkah Towers,Makkah Towers,Makkah Towers,10 дней / 9 ночей,10 кун / 9 кеча,10 рӯз / 9 шаб,Четверг,Пайшанба,Панҷшанбе,"Панорамный вид на Харам, комфорт и близость","Ҳарамга панорамали кўриниш, қулайлик","Манзараи панорамӣ ба Ҳарам",2550,1850,1650,1550,USD,Ташкент — Медина / Джидда — Ташкент,"CentrumAir Airbus A330-300. Ташкент 11:00 → Медина 16:20; Джидда 12:20 → Ташкент 20:40. Багаж 30кг + 8кг","CentrumAir Airbus A330-300. Тошкент 11:00 → Мадина 16:20; Жидда 12:20 → Тошкент 20:40. Багаж 30кг + 8кг","CentrumAir Airbus A330-300. Тошканд 11:00 → Мадина 16:20; Ҷидда 12:20 → Тошканд 20:40. Бағоҷ 30кг + 8кг","1 приём пищи (шведский стол)","1 маҳал швед столи","1 маротиба хӯроки бофеӣ","Перелёт|Трансфер|Виза|Гид|Медстраховка|5л воды Замзам","Парвоз|Трансфер|Виза|Гид|Тиббий суғурта|5л Замзам суви","Парвоз|Интиқол|Виза|Роҳбалад|Суғуртаи тиббӣ|5л оби Замзам",27,TRUE,FALSE
anjum10,4,t-emerald,Anjum,Anjum,Anjum,10 дней / 9 ночей,10 кун / 9 кеча,10 рӯз / 9 шаб,Четверг,Пайшанба,Панҷшанбе,"Оптимальное сочетание цены и качества","Нарх ва сифатнинг оптимал нисбати","Мутобиқати нархи мувофиқ",2250,1700,1600,,USD,Ташкент — Медина / Джидда — Ташкент,"CentrumAir Airbus A330-300. Ташкент 11:00 → Медина 16:20; Джидда 12:20 → Ташкент 20:40. Багаж 30кг + 8кг","CentrumAir Airbus A330-300. Тошкент 11:00 → Мадина 16:20; Жидда 12:20 → Тошкент 20:40. Багаж 30кг + 8кг","CentrumAir Airbus A330-300. Тошканд 11:00 → Мадина 16:20; Ҷидда 12:20 → Тошканд 20:40. Бағоҷ 30кг + 8кг","1 приём пищи (шведский стол)","1 маҳал швед столи","1 маротиба хӯроки бофеӣ","Перелёт|Трансфер|Виза|Гид|Медстраховка|5л воды Замзам","Парвоз|Трансфер|Виза|Гид|Тиббий суғурта|5л Замзам суви","Парвоз|Интиқол|Виза|Роҳбалад|Суғуртаи тиббӣ|5л оби Замзам",27,TRUE,FALSE
saja10,5,t-gold,Saja,Saja,Saja,10 дней / 9 ночей,10 кун / 9 кеча,10 рӯз / 9 шаб,Четверг,Пайшанба,Панҷшанбе,"Бюджетный вариант без потери комфорта","Қулайликни йўқотмасдан тежамкор вариант","Вариант арзон бе аз даст додани роҳат",,1450,1350,1250,USD,Ташкент — Медина / Джидда — Ташкент,"CentrumAir Airbus A330-300. Ташкент 11:00 → Медина 16:20; Джидда 12:20 → Ташкент 20:40. Багаж 30кг + 8кг","CentrumAir Airbus A330-300. Тошкент 11:00 → Мадина 16:20; Жидда 12:20 → Тошкент 20:40. Багаж 30кг + 8кг","CentrumAir Airbus A330-300. Тошканд 11:00 → Мадина 16:20; Ҷидда 12:20 → Тошканд 20:40. Бағоҷ 30кг + 8кг","1 приём пищи (шведский стол)","1 маҳал швед столи","1 маротиба хӯроки бофеӣ","Перелёт|Трансфер|Виза|Гид|Медстраховка|5л воды Замзам","Парвоз|Трансфер|Виза|Гид|Тиббий суғурта|5л Замзам суви","Парвоз|Интиқол|Виза|Роҳбалад|Суғуртаи тиббӣ|5л оби Замзам",27,TRUE,FALSE
jumeirah13,6,t-blue,Jumeirah 13,Jumeirah 13,Jumeirah 13,13 дней / 12 ночей,13 кун / 12 кеча,13 рӯз / 12 шаб,Суббота,Шанба,Шанбе,"Расширенная программа на 13 дней, Jumeirah Jabal Omar","13 кунлик кенгайтирилган дастур, Jumeirah Jabal Omar","Барномаи васеъшуда барои 13 рӯз",3250,2200,2000,1900,USD,Ташкент — Джидда / Медина — Ташкент,"CentrumAir Airbus A330-300. Ташкент 06:20 → Джидда 11:40; Медина 18:00 → Ташкент 02:20 (+1 день). Багаж 30кг + 8кг","CentrumAir Airbus A330-300. Тошкент 06:20 → Жидда 11:40; Мадина 18:00 → Тошкент 02:20 (+1 кун). Багаж 30кг + 8кг","CentrumAir Airbus A330-300. Тошканд 06:20 → Ҷидда 11:40; Мадина 18:00 → Тошканд 02:20 (+1 рӯз). Бағоҷ 30кг + 8кг","2 приёма пищи (шведский стол)","2 маҳал швед столи","2 маротиба хӯроки бофеӣ","Перелёт|Трансфер|Виза|Гид|Медстраховка|5л воды Замзам","Парвоз|Трансфер|Виза|Гид|Тиббий суғурта|5л Замзам суви","Парвоз|Интиқол|Виза|Роҳбалад|Суғуртаи тиббӣ|5л оби Замзам",27,TRUE,FALSE
anjum13,7,t-emerald,Anjum 13,Anjum 13,Anjum 13,13 дней / 12 ночей,13 кун / 12 кеча,13 рӯз / 12 шаб,Суббота,Шанба,Шанбе,"13 дней, комфортный вариант Anjum","13 кунлик, қулай Anjum варианти","Вариант қулай барои 13 рӯз",2500,1800,1700,1600,USD,Ташкент — Джидда / Медина — Ташкент,"CentrumAir Airbus A330-300. Ташкент 06:20 → Джидда 11:40; Медина 18:00 → Ташкент 02:20 (+1 день). Багаж 30кг + 8кг","CentrumAir Airbus A330-300. Тошкент 06:20 → Жидда 11:40; Мадина 18:00 → Тошкент 02:20 (+1 кун). Багаж 30кг + 8кг","CentrumAir Airbus A330-300. Тошканд 06:20 → Ҷидда 11:40; Мадина 18:00 → Тошканд 02:20 (+1 рӯз). Бағоҷ 30кг + 8кг","1 приём пищи (шведский стол)","1 маҳал швед столи","1 маротиба хӯроки бофеӣ","Перелёт|Трансфер|Виза|Гид|Медстраховка|5л воды Замзам","Парвоз|Трансфер|Виза|Гид|Тиббий суғурта|5л Замзам суви","Парвоз|Интиқол|Виза|Роҳбалад|Суғуртаи тиббӣ|5л оби Замзам",27,TRUE,FALSE
taj13,8,t-eba,Taj,Taj,Taj,13 дней / 12 ночей,13 кун / 12 кеча,13 рӯз / 12 шаб,Суббота,Шанба,Шанбе,"Самый доступный вариант на 13 дней","13 кунлик энг арзон вариант","Вариант арзонтарин барои 13 рӯз",1800,1400,1300,1250,USD,Ташкент — Джидда / Медина — Ташкент,"CentrumAir Airbus A330-300. Ташкент 06:20 → Джидда 11:40; Медина 18:00 → Ташкент 02:20 (+1 день). Багаж 30кг + 8кг","CentrumAir Airbus A330-300. Тошкент 06:20 → Жидда 11:40; Мадина 18:00 → Тошкент 02:20 (+1 кун). Багаж 30кг + 8кг","CentrumAir Airbus A330-300. Тошканд 06:20 → Ҷидда 11:40; Мадина 18:00 → Тошканд 02:20 (+1 рӯз). Бағоҷ 30кг + 8кг","1 приём пищи (шведский стол)","1 маҳал швед столи","1 маротиба хӯроки бофеӣ","Перелёт|Трансфер|Виза|Гид|Медстраховка|5л воды Замзам","Парвоз|Трансфер|Виза|Гид|Тиббий суғурта|5л Замзам суви","Парвоз|Интиқол|Виза|Роҳбалад|Суғуртаи тиббӣ|5л оби Замзам",27,TRUE,FALSE
tawhid,9,t-tawhid,Tawhid,Tawhid,Tawhid,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
